DORDER_ID,TIME_DELIVERY,DATE_DELIVERY
O000002,17:17:42,2012-08-05
O000013,16:50:25,2023-09-17
O000017,15:58:20,2003-02-17
O000019,10:41:12,2005-02-10
O000020,17:36:01,2024-01-29
O000022,14:38:56,2018-07-25
O000023,15:05:19,2023-10-11
O000024,14:16:40,2019-10-19
O000026,14:20:26,2009-01-21
O000031,09:53:55,2010-07-16
O000032,18:21:17,2024-09-28
O000036,07:09:47,2018-07-15
O000037,07:50:22,2018-09-26
O000042,11:29:37,2016-04-27
O000043,10:51:01,2023-11-11
O000047,06:59:05,2024-12-22
O000057,15:21:10,2024-04-09
O000058,10:53:30,2017-04-26
O000060,07:09:42,2022-02-05
O000061,10:40:20,2023-06-15
O000062,07:03:39,2023-01-17
O000066,13:29:59,2023-06-12
O000067,12:32:21,2002-07-30
O000069,15:31:19,2013-10-08
O000071,09:38:58,2020-02-14
O000074,07:22:06,2024-12-08
O000081,18:42:32,2018-02-27
O000082,15:40:12,2012-04-05
O000087,06:37:02,2018-09-07
O000092,09:59:04,2006-05-08
O000093,12:42:21,2004-01-07
O000099,15:58:49,2008-08-02
O000100,11:42:12,2023-09-26
O000103,13:49:56,2011-08-09
O000118,07:14:27,2019-06-25
O000120,12:38:37,2024-03-08
O000126,14:26:02,2024-10-01
O000132,15:33:03,2021-07-09
O000133,16:21:26,2024-07-31
O000137,18:38:19,2020-09-15
O000139,11:16:24,2024-02-10
O000149,08:57:55,2022-05-28
O000150,17:13:10,2004-03-24
O000152,14:49:05,2004-07-29
O000155,17:52:54,2004-12-06
O000156,18:44:00,2023-06-21
O000158,09:56:18,2017-02-26
O000159,12:17:49,2020-12-12
O000162,14:02:43,2017-05-23
O000166,12:03:54,2022-12-08
O000172,06:58:32,2011-11-06
O000179,18:07:26,2015-12-26
O000189,07:28:40,2015-05-15
O000190,10:49:23,2023-04-04
O000192,18:34:35,2022-04-24
O000197,17:33:16,2021-12-27
O000201,15:29:55,2023-08-18
O000202,16:21:50,2018-08-31
O000207,18:30:26,2018-05-24
O000209,11:48:23,2001-10-18
O000210,11:04:42,2024-04-13
O000211,15:49:03,2024-08-04
O000212,11:46:30,2019-02-08
O000215,16:22:57,2022-11-23
O000216,18:10:32,2017-12-26
O000232,11:16:02,2021-02-05
O000234,16:34:11,2015-05-30
O000237,18:54:24,2019-10-17
O000242,13:29:07,2005-09-13
O000247,07:38:29,2022-03-10
O000251,12:11:26,2023-11-25
O000252,16:46:31,2021-08-28
O000253,17:29:43,2023-03-29
O000254,17:52:13,2003-07-25
O000258,13:52:08,2021-10-08
O000262,18:08:47,2006-10-25
O000266,09:57:34,2013-06-18
O000270,17:21:00,2020-11-11
O000272,08:02:28,2016-01-03
O000276,14:53:04,2011-07-12
O000278,18:11:03,2024-08-13
O000280,11:51:35,2010-07-11
O000285,18:22:03,2021-02-02
O000288,14:34:51,2024-04-07
O000291,14:13:42,2022-03-16
O000294,13:01:50,2014-11-27
O000297,14:31:11,2006-02-16
O000299,18:28:55,2023-10-18
O000307,10:25:51,2013-01-07
O000309,08:28:39,2016-06-07
O000311,12:57:31,2015-04-13
O000313,10:33:16,2023-02-16
O000314,15:26:21,2024-09-18
O000317,07:32:44,2018-12-10
O000318,13:08:50,2014-08-09
O000321,16:23:03,2012-04-13
O000322,16:29:08,2023-03-05
O000323,07:32:46,2016-08-22
O000325,15:57:52,2020-08-16
O000326,15:03:55,2017-12-10
O000328,10:58:39,2020-01-07
O000332,06:54:22,2024-07-11
O000333,13:28:00,2023-09-20
O000335,10:46:05,2021-07-12
O000340,15:06:48,2011-03-23
O000342,08:19:53,2023-12-12
O000349,11:23:38,2023-05-21
O000353,16:43:13,2011-01-28
O000356,08:15:19,2022-03-15
O000358,13:49:54,2024-07-21
O000360,10:06:08,2023-05-30
O000366,08:14:02,2024-04-15
O000375,06:57:30,2016-05-31
O000377,13:57:49,2023-05-21
O000379,15:45:27,2024-04-15
O000390,12:39:06,2020-06-27
O000391,17:13:12,2021-08-12
O000392,08:34:48,2022-07-25
O000393,16:11:24,2018-12-28
O000394,18:35:14,2024-03-23
