OFORDER_ID,TABLE_NUMBER,EMPLOYEE_ID,BRANCH_ID,EMPLYEE_RATING
O000003,38,E015010,B003,1
O000004,36,E000004,B004,5
O000006,13,E015046,B006,3
O000007,20,E015065,B007,5
O000008,25,E015080,B008,5
O000009,43,E015085,B009,5
O000010,9,E015103,B010,5
O000011,34,E015106,B011,2
O000012,9,E000012,B012,3
O000014,22,E015147,B014,1
O000016,20,E000863,B001,5
O000025,44,E014353,B001,5
O000029,24,E000202,B001,5
O000034,42,E000939,B001,5
O000038,14,E009057,B001,5
O000039,44,E012253,B001,1
O000040,39,E005874,B001,3
O000041,37,E007984,B001,5
O000048,26,E012092,B001,4
O000050,48,E009598,B001,5
O000052,28,E003292,B001,4
O000053,37,E009463,B001,5
O000054,21,E009197,B001,5
O000063,24,E003092,B001,5
O000065,24,E006370,B001,3
O000068,36,E000183,B001,5
O000073,29,E008263,B001,5
O000075,37,E008744,B001,1
O000076,24,E001359,B001,2
O000080,10,E000726,B001,5
O000084,17,E002193,B001,1
O000085,47,E010565,B001,5
O000086,41,E012650,B001,2
O000095,6,E010555,B001,4
O000096,41,E000463,B001,3
O000098,9,E007721,B001,5
O000102,11,E010048,B001,5
O000107,18,E001443,B001,5
O000112,21,E001558,B001,5
O000113,13,E007721,B001,2
O000114,33,E013424,B001,5
O000115,2,E003684,B001,5
O000116,14,E010781,B001,5
O000117,4,E008356,B001,2
O000119,38,E004635,B001,5
O000125,34,E009422,B001,5
O000127,8,E006155,B001,5
O000128,30,E004997,B001,5
O000129,7,E011214,B001,5
O000130,14,E014155,B001,5
O000135,25,E011504,B001,5
O000136,20,E010885,B001,5
O000141,26,E012359,B001,1
O000144,21,E008279,B001,4
O000145,38,E000672,B001,5
O000146,32,E001147,B001,5
O000147,34,E000445,B001,5
O000148,49,E012006,B001,2
O000151,17,E010091,B001,5
O000154,1,E013960,B001,5
O000161,33,E010644,B001,5
O000164,38,E013163,B001,5
O000168,15,E011382,B001,5
O000169,46,E014806,B001,5
O000171,16,E007831,B001,1
O000173,33,E007467,B001,5
O000175,26,E002579,B001,5
O000178,15,E009954,B001,5
O000181,6,E013573,B001,5
O000183,47,E012240,B001,5
O000185,46,E007869,B001,1
O000187,12,E009308,B001,5
O000188,41,E003009,B001,5
O000191,17,E008554,B001,5
O000194,30,E012489,B001,5
O000196,24,E012771,B001,5
O000200,9,E011165,B001,2
O000206,15,E006748,B001,5
O000213,32,E010069,B001,5
O000218,22,E011948,B001,5
O000220,28,E014456,B001,5
O000221,50,E004658,B001,5
O000222,27,E002717,B001,5
O000224,15,E013235,B001,5
O000225,20,E009460,B001,5
O000227,46,E013448,B001,1
O000228,47,E008907,B001,5
O000230,11,E012565,B001,1
O000231,37,E006591,B001,5
O000233,40,E002118,B001,5
O000238,50,E011743,B001,5
O000239,31,E008986,B001,5
O000240,26,E014288,B001,3
O000243,6,E013068,B001,5
O000245,47,E010864,B001,3
O000246,38,E010247,B001,3
O000255,9,E006772,B001,5
O000256,49,E001471,B001,5
O000259,8,E000070,B001,1
O000260,42,E004104,B001,5
O000261,15,E013517,B001,5
O000269,47,E002893,B001,5
O000273,36,E006651,B001,5
O000274,21,E000409,B001,5
O000277,25,E008989,B001,5
O000281,2,E001767,B001,3
O000282,45,E013425,B001,5
O000283,44,E010205,B001,5
O000284,48,E013295,B001,5
O000286,15,E009929,B001,5
O000287,36,E007080,B001,5
O000289,43,E000153,B001,5
O000292,15,E002389,B001,5
O000293,15,E011122,B001,5
O000295,21,E001795,B001,2
O000298,3,E011678,B001,5
O000300,40,E014430,B001,4
O000302,20,E006600,B001,5
O000303,32,E009105,B001,5
O000305,25,E008361,B001,5
O000310,35,E007186,B001,3
O000315,17,E012436,B001,5
O000327,38,E012596,B001,1
O000330,45,E014637,B001,5
O000331,39,E001363,B001,5
O000336,38,E009352,B001,4
O000338,12,E006767,B001,5
O000339,2,E012721,B001,1
O000341,47,E002609,B001,3
O000347,2,E014097,B001,5
O000348,41,E013640,B001,5
