OORDER_ID,ARRIVAL_DATE,ARRIVAL_TIME,TABLE_NUMBER,BRANCH_ID,CUSTOMER_QUANTITY
O000001,2021-02-19,18:39:39,44,B001,8
O000005,2017-04-21,14:07:29,10,B005,1
O000015,2018-05-01,15:57:36,30,B015,9
O000018,2022-01-09,17:34:54,46,B001,9
O000021,2018-12-25,07:23:39,33,B001,7
O000027,2021-11-15,12:09:43,26,B001,7
O000028,2016-01-19,07:47:43,18,B001,4
O000030,2022-06-11,16:25:27,7,B001,4
O000033,2022-05-30,16:19:31,14,B001,3
O000035,2024-12-12,16:25:08,46,B001,8
O000044,2024-07-26,08:48:01,27,B001,7
O000045,2017-12-08,15:49:09,29,B001,6
O000046,2023-01-25,18:13:10,33,B001,10
O000049,2021-05-14,16:56:21,11,B001,5
O000051,2023-07-27,07:31:59,25,B001,4
O000055,2021-03-20,13:59:11,50,B001,8
O000056,2018-01-07,18:49:12,21,B001,2
O000059,2024-06-07,17:10:48,45,B001,9
O000064,2024-12-15,10:26:29,23,B001,5
O000070,2024-07-09,14:47:44,30,B001,8
O000072,2016-05-29,14:55:10,25,B001,5
O000077,2022-07-14,12:14:11,10,B001,1
O000078,2023-09-06,08:24:04,28,B001,8
O000079,2019-02-28,16:33:29,49,B001,9
O000083,2018-12-07,18:39:35,41,B001,9
O000088,2010-06-07,11:59:54,12,B001,3
O000089,2001-10-18,07:44:04,11,B001,5
O000090,2023-10-17,12:08:15,44,B001,8
O000091,2024-11-01,07:49:05,34,B001,10
O000094,2023-10-31,18:52:09,7,B001,5
O000097,2023-03-07,17:11:41,50,B001,7
O000101,2023-12-09,08:01:19,6,B001,2
O000104,2021-07-19,13:41:20,45,B001,10
O000105,2013-05-26,09:23:51,43,B001,8
O000106,2020-05-10,17:09:31,28,B001,9
O000108,2015-02-09,12:00:49,44,B001,10
O000109,2018-07-10,15:05:50,4,B001,2
O000110,2003-11-12,18:25:23,13,B001,3
O000111,2023-09-02,13:14:58,6,B001,3
O000121,2009-10-08,18:20:18,12,B001,2
O000122,2024-09-26,14:00:12,32,B001,6
O000123,2013-02-07,09:42:23,47,B001,9
O000124,2001-10-29,10:57:14,33,B001,8
O000131,2022-05-11,17:37:54,43,B001,6
O000134,2016-10-13,18:47:21,41,B001,6
O000138,2024-12-12,17:29:55,35,B001,6
O000140,2021-07-05,14:30:46,37,B001,8
O000142,2016-05-05,12:57:45,35,B001,8
O000143,2021-08-16,15:53:48,45,B001,9
O000153,2023-12-18,18:49:10,47,B001,9
O000157,2022-04-29,15:32:50,49,B001,6
O000160,2021-04-19,09:52:38,11,B001,3
O000163,2022-07-20,16:53:43,47,B001,10
O000165,2024-06-01,13:23:35,32,B001,7
O000167,2017-09-09,18:14:41,6,B001,4
O000170,2022-03-24,16:12:44,45,B001,7
O000174,2023-06-11,09:03:54,45,B001,8
O000176,2022-12-11,17:52:30,6,B001,2
O000177,2014-08-12,11:18:24,11,B001,3
O000180,2021-02-11,15:22:43,39,B001,8
O000182,2019-12-11,12:23:04,31,B001,8
O000184,2024-12-08,18:38:32,50,B001,10
O000186,2015-04-09,13:23:26,32,B001,10
O000193,2018-03-20,13:14:33,16,B001,1
O000195,2014-08-02,14:17:37,45,B001,7
O000198,2019-09-11,16:04:09,12,B001,3
O000199,2013-03-07,11:03:34,26,B001,10
O000203,2023-02-25,10:36:02,46,B001,9
O000204,2019-08-25,14:24:53,46,B001,9
O000205,2008-05-22,06:39:02,11,B001,3
O000208,2005-07-20,13:47:53,35,B001,7
O000214,2018-10-08,09:40:34,32,B001,9
O000217,2012-07-24,07:28:02,39,B001,9
O000219,2010-03-10,12:15:43,50,B001,6
O000223,2024-09-16,16:21:56,22,B001,3
O000226,2023-02-17,18:00:38,39,B001,6
O000229,2016-03-08,08:07:42,44,B001,8
O000235,2020-05-30,12:53:05,26,B001,7
O000236,2023-06-05,14:51:38,49,B001,10
