ORDER_ID,DISH_ID,QUANTITY
O000001,D046,9
O000002,D141,2
O000003,D125,7
O000004,D166,3
O000005,D098,3
O000006,D153,3
O000007,D093,6
O000008,D116,9
O000009,D076,6
O000010,D072,1
O000011,D087,7
O000012,D127,5
O000013,D117,5
O000014,D198,2
O000015,D029,3
O000016,D196,8
O000017,D077,8
O000018,D165,8
O000019,D169,1
O000020,D102,9
O000021,D146,3
O000022,D155,8
O000023,D187,6
O000024,D152,8
O000025,D017,8
O000026,D129,5
O000027,D101,4
O000028,D004,3
O000029,D054,1
O000030,D093,6
O000031,D091,6
O000032,D008,10
O000033,D106,3
O000034,D103,4
O000035,D197,7
O000036,D108,10
O000037,D169,6
O000038,D197,3
O000039,D171,1
O000040,D160,6
O000041,D040,1
O000042,D058,1
O000043,D168,5
O000044,D168,9
O000045,D179,5
O000046,D003,2
O000047,D045,2
O000048,D092,10
O000049,D127,7
O000050,D175,7
O000051,D135,4
O000052,D044,6
O000053,D116,8
O000054,D087,1
O000055,D110,5
O000056,D025,10
O000057,D127,6
O000058,D077,5
O000059,D036,6
O000060,D162,3
O000061,D100,6
O000062,D154,7
O000063,D101,7
O000064,D111,10
O000065,D061,4
O000066,D125,6
O000067,D057,3
O000068,D179,4
O000069,D058,3
O000070,D160,6
O000071,D172,10
O000072,D155,4
O000073,D027,2
O000074,D080,8
O000075,D172,5
O000076,D194,5
O000077,D118,1
O000078,D171,10
O000079,D099,9
O000080,D135,3
O000081,D088,4
O000082,D056,1
O000083,D086,9
O000084,D111,10
O000085,D005,2
O000086,D114,3
O000087,D165,10
O000088,D054,10
O000089,D105,6
O000090,D112,9
O000091,D175,2
O000092,D021,7
O000093,D167,2
O000094,D073,4
O000095,D035,4
O000096,D140,3
O000097,D130,4
O000098,D105,9
O000099,D198,5
O000100,D132,3
O000101,D072,7
O000102,D164,5
O000103,D163,8
O000104,D158,10
O000105,D163,9
O000106,D146,7
O000107,D015,9
O000108,D158,10
O000109,D082,6
O000110,D076,2
O000111,D072,9
O000112,D067,6
O000113,D187,4
O000114,D036,6
O000115,D171,5
O000116,D094,2
O000117,D066,10
O000118,D190,3
O000119,D050,2
O000120,D151,8
O000121,D071,6
O000122,D153,10
O000123,D054,5
O000124,D025,1
O000125,D012,6
O000126,D024,6
O000127,D086,7
O000128,D097,7
O000129,D190,1
O000130,D194,5
O000131,D029,4
O000132,D047,4
O000133,D066,10
O000134,D115,3
O000135,D184,5
O000136,D033,5
O000137,D081,4
O000138,D137,7
O000139,D092,5
O000140,D067,6
O000141,D053,10
O000142,D156,9
O000143,D069,1
O000144,D050,8
O000145,D159,3
O000146,D034,10
O000147,D177,8
O000148,D006,6
O000149,D142,4
O000150,D015,4
O000151,D194,8
O000152,D098,1
O000153,D169,10
O000154,D129,6
O000155,D182,6
O000156,D162,1
O000157,D081,1
O000158,D071,8
O000159,D071,1
O000160,D020,3
O000161,D187,6
O000162,D105,3
O000163,D081,4
O000164,D078,5
O000165,D062,10
O000166,D037,10
O000167,D053,4
O000168,D196,6
O000169,D105,5
O000170,D190,4
O000171,D134,3
O000172,D136,2
O000173,D159,4
O000174,D095,8
O000175,D080,8
O000176,D021,6
O000177,D185,1
O000178,D199,3
O000179,D083,3
O000180,D169,2
O000181,D156,1
O000182,D072,10
O000183,D177,4
O000184,D032,2
O000185,D075,10
O000186,D181,5
O000187,D085,6
O000188,D198,3
O000189,D090,1
O000190,D112,2
O000191,D155,6
O000192,D181,7
O000193,D182,7
O000194,D056,3
O000195,D053,8
O000196,D040,9
O000197,D141,6
O000198,D175,9
O000199,D133,1
O000200,D044,9
O000201,D155,8
O000202,D010,6
O000203,D113,5
O000204,D103,6
O000205,D157,5
O000206,D004,7
O000207,D085,9
O000208,D126,3
O000209,D068,2
O000210,D148,9
O000211,D018,3
O000212,D178,7
O000213,D089,7
O000214,D011,5
O000215,D115,7
O000216,D149,3
O000217,D102,2
O000218,D008,6
O000219,D085,6
O000220,D068,9
O000221,D172,3
O000222,D187,3
O000223,D061,3
O000224,D023,4
O000225,D008,2
O000226,D053,4
O000227,D020,3
O000228,D025,8
O000229,D170,7
O000230,D167,8
O000231,D145,8
O000232,D020,3
O000233,D171,10
O000234,D018,9
O000235,D006,7
O000236,D015,5
O000237,D180,6
O000238,D187,7
O000239,D025,10
O000240,D189,1
O000241,D145,2
O000242,D068,5
O000243,D051,8
O000244,D146,4
O000245,D073,4
O000246,D017,7
O000247,D058,1
O000248,D113,3
O000249,D055,7
O000250,D041,3
O000251,D025,7
O000252,D169,7
O000253,D135,7
O000254,D078,5
O000255,D136,1
O000256,D093,10
O000257,D170,4
O000258,D165,10
O000259,D041,2
O000260,D139,7
O000261,D070,2
O000262,D143,7
O000263,D062,3
O000264,D132,3
O000265,D013,4
O000266,D102,8
O000267,D031,9
O000268,D025,7
O000269,D041,9
O000270,D042,1
O000271,D130,9
O000272,D131,1
O000273,D172,3
O000274,D042,7
O000275,D066,4
O000276,D078,7
O000277,D022,4
O000278,D129,1
O000279,D134,3
O000280,D186,8
O000281,D104,2
O000282,D073,1
O000283,D042,1
O000284,D027,10
O000285,D029,7
O000286,D161,10
O000287,D082,10
O000288,D140,6
O000289,D023,4
O000290,D025,10
O000291,D013,2
O000292,D189,5
O000293,D116,7
O000294,D180,4
O000295,D034,9
O000296,D197,6
O000297,D082,10
O000298,D131,3
O000299,D193,6
O000300,D186,7
O000301,D047,4
O000302,D028,4
O000303,D051,5
O000304,D174,3
O000305,D015,6
O000306,D133,4
O000307,D018,10
O000308,D013,4
O000309,D014,9
O000310,D080,1
O000311,D035,8
O000312,D075,9
O000313,D011,10
O000314,D143,6
O000315,D024,8
O000316,D188,4
O000317,D170,4
O000318,D173,9
O000319,D170,6
O000320,D174,1
O000321,D142,10
O000322,D113,3
O000323,D191,8
O000324,D080,3
O000325,D193,1
O000326,D062,3
O000327,D067,8
O000328,D182,4
O000329,D005,1
O000330,D075,4
O000331,D175,4
O000332,D182,5
O000333,D018,3
O000334,D064,6
O000335,D139,6
O000336,D181,5
O000337,D074,1
O000338,D035,2
O000339,D014,4
O000340,D187,6
O000341,D181,8
O000342,D140,3
O000343,D037,9
O000344,D055,4
O000345,D091,1
O000346,D029,3
O000347,D127,8
O000348,D041,6
O000349,D106,10
O000350,D167,3
O000351,D020,6
O000352,D063,7
O000353,D152,10
O000354,D014,3
O000355,D189,7
O000356,D105,9
O000357,D113,2
O000358,D020,10
O000359,D007,4
O000360,D090,3
O000361,D159,7
O000362,D184,7
O000363,D155,8
O000364,D088,8
O000365,D192,5
O000366,D143,5
O000367,D177,2
O000368,D023,4
O000369,D154,4
O000370,D024,1
O000371,D132,2
O000372,D086,9
O000373,D035,7
O000374,D146,2
O000375,D001,4
O000376,D157,4
O000377,D131,5
O000378,D112,7
O000379,D110,9
O000380,D181,6
O000381,D035,8
O000382,D110,6
O000383,D126,10
O000384,D112,7
O000385,D041,10
O000386,D115,10
O000387,D037,7
O000388,D023,1
O000389,D007,4
O000390,D078,10
O000391,D190,1
O000392,D148,1
O000393,D186,10
O000394,D082,10
O000395,D066,4
O000396,D181,1
O000397,D143,5
O000398,D013,7
O000399,D082,3
O000400,D020,6
O000401,D068,1
O000402,D037,6
O000403,D100,8
O000404,D160,10
O000405,D007,7
O000406,D117,8
O000407,D127,4
O000408,D127,4
O000409,D055,9
O000410,D068,4
O000411,D068,6
O000412,D110,2
O000413,D170,2
O000414,D047,4
O000415,D198,10
O000416,D161,2
O000417,D035,4
O000418,D018,2
O000419,D111,6
O000420,D007,9
O000421,D133,5
O000422,D117,5
O000423,D159,2
O000424,D130,1
O000425,D035,6
O000426,D072,5
O000427,D116,9
O000428,D030,9
O000429,D036,3
O000430,D015,10
O000431,D074,4
O000432,D101,5
O000433,D004,6
O000434,D182,4
O000435,D032,8
O000436,D173,5
O000437,D040,4
O000438,D074,10
O000439,D095,10
O000440,D051,4
O000441,D004,3
O000442,D093,3
O000443,D005,10
O000444,D100,5
O000445,D070,10
O000446,D193,9
O000447,D185,9
O000448,D066,4
O000449,D172,3
O000450,D068,8
O000451,D061,7
O000452,D061,4
O000453,D194,3
O000454,D191,9
O000455,D027,1
O000456,D143,2
O000457,D008,2
O000458,D075,5
O000459,D009,3
O000460,D106,1
O000461,D056,8
O000462,D101,9
O000463,D168,9
O000464,D172,6
O000465,D009,2
O000466,D166,1
O000467,D095,7
O000468,D173,4
O000469,D013,3
O000470,D166,7
O000471,D007,2
O000472,D144,9
O000473,D064,9
O000474,D169,5
O000475,D014,7
O000476,D080,8
O000477,D125,7
O000478,D044,7
O000479,D014,8
O000480,D023,3
O000481,D127,2
O000482,D022,8
O000483,D070,3
O000484,D089,9
O000485,D058,6
O000486,D051,9
O000487,D086,8
O000488,D142,2
O000489,D100,2
O000490,D069,8
O000491,D117,3
O000492,D171,4
O000493,D109,7
O000494,D138,9
O000495,D018,9
O000496,D107,3
O000497,D110,10
O000498,D030,4
O000499,D108,1
O000500,D022,8
O000501,D019,8
O000502,D146,8
O000503,D178,5
O000504,D090,7
O000505,D149,4
O000506,D072,1
O000507,D147,8
O000508,D186,5
O000509,D114,1
O000510,D017,10
O000511,D185,4
O000512,D019,4
O000513,D040,2
O000514,D175,9
O000515,D137,6
O000516,D036,6
O000517,D089,2
O000518,D023,9
O000519,D009,7
O000520,D094,4
O000521,D156,5
O000522,D074,5
O000523,D141,7
O000524,D080,7
O000525,D114,5
O000526,D167,4
O000527,D142,9
O000528,D189,6
O000529,D107,3
O000530,D112,1
O000531,D099,5
O000532,D073,2
O000533,D069,2
O000534,D107,4
O000535,D075,9
O000536,D154,8
O000537,D018,3
O000538,D101,7
O000539,D046,10
O000540,D186,9
O000541,D167,4
O000542,D004,1
O000543,D098,4
O000544,D168,5
O000545,D025,10
O000546,D154,5
O000547,D088,6
O000548,D068,4
O000549,D142,3
O000550,D075,8
O000551,D003,4
O000552,D076,7
O000553,D081,9
O000554,D023,7
O000555,D077,6
O000556,D137,10
O000557,D019,1
O000558,D097,3
O000559,D027,7
O000560,D192,2
O000561,D197,8
O000562,D089,8
O000563,D014,10
O000564,D101,5
O000565,D040,7
O000566,D033,5
O000567,D189,1
O000568,D154,3
O000569,D156,2
O000570,D073,9
O000571,D044,5
O000572,D145,2
O000573,D033,5
O000574,D113,3
O000575,D062,8
O000576,D098,10
O000577,D063,7
O000578,D157,4
O000579,D182,6
O000580,D128,7
O000581,D071,7
O000582,D010,5
O000583,D133,7
O000584,D168,8
O000585,D063,2
O000586,D141,3
O000587,D151,9
O000588,D021,4
O000589,D198,1
O000590,D111,10
O000591,D036,9
O000592,D068,1
O000593,D111,1
O000594,D002,4
O000595,D192,9
O000596,D017,4
O000597,D157,3
O000598,D120,7
O000599,D133,4
O000600,D125,4
O000601,D137,8
O000602,D067,8
O000603,D168,7
O000604,D157,7
O000605,D054,6
O000606,D086,4
O000607,D175,1
O000608,D115,10
O000609,D017,1
O000610,D011,10
O000611,D005,9
O000612,D025,3
O000613,D010,5
O000614,D062,10
O000615,D193,3
O000616,D166,10
O000617,D130,9
O000618,D175,2
O000619,D013,5
O000620,D007,7
O000621,D025,7
O000622,D019,6
O000623,D017,5
O000624,D130,5
O000625,D141,6
O000626,D108,5
O000627,D172,4
O000628,D180,5
O000629,D004,4
O000630,D193,9
O000631,D183,8
O000632,D064,10
O000633,D038,1
O000634,D139,10
O000635,D164,9
O000636,D015,6
O000637,D040,6
O000638,D196,2
O000639,D105,1
O000640,D047,10
O000641,D193,10
O000642,D065,9
O000643,D022,2
O000644,D018,4
O000645,D111,5
O000646,D188,1
O000647,D014,8
O000648,D002,10
O000649,D019,6
O000650,D099,10
O000651,D136,7
O000652,D023,5
O000653,D027,3
O000654,D087,4
O000655,D058,6
O000656,D194,1
O000657,D163,9
O000658,D037,5
O000659,D100,2
O000660,D192,7
O000661,D165,2
O000662,D035,2
O000663,D051,4
O000664,D191,7
O000665,D193,7
O000666,D147,4
O000667,D140,9
O000668,D169,5
O000669,D101,2
O000670,D010,1
O000671,D087,1
O000672,D108,5
O000673,D097,10
O000674,D013,7
O000675,D034,2
O000676,D128,8
O000677,D146,7
O000678,D034,3
O000679,D163,1
O000680,D154,4
O000681,D064,9
O000682,D117,10
O000683,D115,7
O000684,D152,2
O000685,D110,8
O000686,D116,7
O000687,D134,1
O000688,D146,2
O000689,D015,2
O000690,D019,7
O000691,D062,1
O000692,D186,6
O000693,D022,4
O000694,D128,8
O000695,D066,1
O000696,D062,9
O000697,D106,4
O000698,D179,5
O000699,D100,10
O000700,D024,5
O000701,D146,7
O000702,D035,5
O000703,D010,3
O000704,D030,3
O000705,D197,1
O000706,D194,1
O000707,D092,4
O000708,D094,9
O000709,D171,9
O000710,D093,6
O000711,D018,5
O000712,D045,7
O000713,D153,10
O000714,D011,9
O000715,D025,8
O000716,D191,10
O000717,D061,5
O000718,D051,9
O000719,D115,8
