BRANCH_START_DATE,BRANCH_END_DATE,EMPLOYEE_ID,BRANCH_ID
2012-08-24,,E000001,B001
2002-08-21,,E000002,B002
2024-10-17,,E000003,B003
2000-02-10,,E000004,B004
2015-11-29,,E000005,B005
2013-12-13,,E000006,B006
2005-03-13,,E000007,B007
2003-02-02,,E000008,B008
1999-02-17,,E000009,B009
2002-02-03,,E000010,B010
2006-02-26,,E000011,B011
1997-01-30,,E000012,B012
2013-05-16,,E000013,B013
2016-10-01,,E000014,B014
2001-10-04,,E000015,B015
2018-11-23,,E000016,B001
1997-03-28,,E000017,B001
2006-08-23,,E000018,B001
2000-10-08,,E000019,B001
2016-11-04,,E000020,B001
2003-02-22,,E000021,B001
2016-04-16,,E000022,B001
2022-06-12,,E000023,B001
2015-01-21,,E000024,B001
2019-05-02,,E000025,B001
2007-09-30,,E000026,B001
2015-12-01,,E000027,B001
2012-10-24,,E000028,B001
2019-08-25,,E000029,B001
2021-05-09,,E000030,B001
1998-12-01,2013-07-21,E000031,B001
2002-10-31,2023-05-31,E000032,B001
1999-01-31,2001-02-01,E000033,B001
2013-01-05,2015-06-29,E000034,B001
2000-03-03,2016-03-12,E000035,B001
2014-05-12,2017-11-16,E000036,B001
2003-08-07,,E000037,B001
2017-02-12,2022-01-22,E000038,B001
2010-03-12,,E000039,B001
2019-11-20,,E000040,B001
2005-12-02,,E000041,B001
2022-05-03,,E000042,B001
2002-01-09,,E000043,B001
2017-03-23,,E000044,B001
1997-04-29,,E000045,B001
2002-01-11,,E000046,B001
2005-10-18,2018-09-08,E000047,B001
2020-05-24,,E000048,B001
1998-12-05,,E000049,B001
2009-09-09,,E000050,B001
2003-01-08,2017-06-19,E000051,B001
2016-04-23,2023-11-16,E000052,B001
2022-08-25,,E000053,B001
2021-10-13,,E000054,B001
2017-03-24,,E000055,B001
2012-08-11,2020-12-03,E000056,B001
2017-05-20,,E000057,B001
2024-09-17,,E000058,B001
2024-01-05,,E000059,B001
2004-11-29,,E000060,B001
2018-05-24,2022-07-03,E000061,B001
1997-06-16,,E000062,B001
1998-08-27,,E000063,B001
2007-11-13,,E000064,B001
1999-09-27,,E000065,B001
2015-04-30,,E000066,B001
2021-01-26,,E000067,B001
1999-05-30,,E000068,B001
2021-05-28,,E000069,B001
2014-01-23,,E000070,B001
